customer_id,First Time,Recent Time,# of Orders,# of Orders in last 7 days,# of Orders in last 4 weeks,Amount,Amount in last 7 days,Amount in last 4 weeks,Avg_DistanceFromResturant,Avg_DeliveryTime
1280175,7/12/15 14:09,12/22/15 6:28,75,4,19,31018,1605,6850,1.7,33
1195168,6/16/15 8:20,11/16/15 8:50,75,,6,6930,0,790,1,23
1305086,6/30/15 9:23,11/16/15 8:10,74,,10,12394,0,2034,2.5,37
1339986,7/8/15 12:53,12/17/15 4:40,74,3,21,27953,480,4658,2.5,36
328401,6/18/15 17:19,12/1/15 3:44,73,1,2,2479,87,100,3.1,43
1352197,7/11/15 11:23,12/23/15 13:27,73,5,13,23644,1425,3757,3,50
280731,7/8/15 17:19,12/20/15 1:35,73,4,18,24258,1546,5810,2.5,33
1254595,7/7/15 19:47,12/17/15 14:04,72,2,10,30477,373,1834,2.9,52
1203107,7/9/15 17:33,12/10/15 21:40,72,4,14,44536,2337,9532,2.8,30
939294,7/7/15 12:29,12/17/15 22:04,72,2,10,21720,657,3302,1.3,38
1252745,7/4/15 8:47,12/9/15 18:59,71,2,7,32667,376,1579,2.4,21
15268,7/19/15 20:11,12/29/15 22:29,71,4,9,31661,2102,4405,2.4,51
1168613,7/2/15 17:58,11/26/15 20:30,71,4,14,33295,1163,7395,2.9,36
1137169,6/26/15 2:35,12/2/15 15:13,71,3,15,46526,1106,5786,1.4,47
1270009,6/19/15 7:00,11/13/15 6:08,70,,1,13841,0,397,1.4,44
548030,8/14/15 14:22,12/7/15 20:42,68,4,18,5304,300,1470,2.3,33
95315,7/3/15 19:34,12/13/15 11:59,68,1,9,25226,356,2736,1.6,31
1253027,6/29/15 9:44,12/8/15 7:37,68,3,9,17356,656,1870,4,20
1137622,6/17/15 14:07,12/2/15 5:56,68,1,8,17545,363,1885,2.1,29
190006,6/27/15 22:31,11/25/15 11:50,66,,7,23240,0,4721,2.3,18
1193597,7/3/15 17:05,12/10/15 16:15,66,1,14,17729,477,4383,1.8,36
1251843,7/12/15 17:15,12/17/15 17:42,65,1,4,1653,26,80,1.9,32
239286,7/9/15 5:52,12/19/15 14:55,65,4,21,4545,147,1211,2.2,18
1241764,7/21/15 19:05,12/6/15 7:32,64,,23,10232,0,3617,3.2,45
99076,7/9/15 12:51,12/16/15 8:32,64,2,14,5717,192,1479,2.3,36
1195476,6/6/15 21:45,11/12/15 2:46,64,,11,19671,0,3212,1.7,48
1133128,7/12/15 8:49,12/20/15 16:18,64,4,15,11373,558,2635,2,33
429482,8/4/15 11:09,12/31/15 6:18,64,4,16,6763,520,1858,2.6,59
713125,9/11/15 10:24,12/9/15 20:04,63,12,38,32854,7126,19283,2,38
1223361,7/22/15 20:12,12/27/15 14:26,63,1,15,14343,510,3648,2,53
519977,8/11/15 18:20,12/20/15 20:48,63,1,8,16979,573,2393,1,48
34882,7/3/15 10:06,11/29/15 6:24,63,,3,2767,0,331,2.1,42
1141298,7/20/15 5:08,12/19/15 11:27,62,,7,40134,0,7260,2.3,19
1275129,6/25/15 3:18,12/8/15 15:31,62,1,4,3237,16,134,2.4,51
1116963,7/18/15 6:48,12/28/15 20:38,62,1,5,25417,482,1855,2.4,40
749928,9/9/15 0:15,10/29/15 22:41,62,,NA,10537,0,0,2.4,61
1140472,7/29/15 20:54,1/2/16 0:03,61,,6,4154,0,406,2.2,32
1130975,7/13/15 15:32,12/20/15 18:23,61,3,9,19900,1298,3514,3.6,26
1196275,8/2/15 5:08,12/23/15 22:08,61,1,8,56027,2033,9042,2.2,32
1122903,7/8/15 11:19,12/19/15 21:14,61,3,12,3502,231,729,1.2,31
334261,7/14/15 13:08,12/17/15 1:53,60,3,19,5953,363,1660,2.8,22
327757,7/4/15 19:27,12/12/15 22:05,60,3,3,21018,902,902,2.4,44
270754,6/7/15 9:31,11/11/15 18:10,60,,6,5930,0,660,3,39
1101861,6/13/15 14:59,11/16/15 14:52,60,3,7,40000,1937,5127,1.7,56
522311,8/16/15 9:42,12/14/15 11:37,60,2,12,6073,138,1095,2.2,47
1219935,6/30/15 13:46,12/11/15 17:41,60,5,14,28320,1893,5633,2.8,30
1173652,7/1/15 22:03,12/8/15 7:09,59,,6,12682,0,1513,0.8,25
33584,7/9/15 12:04,12/17/15 5:25,59,4,5,1164,71,92,3,56
172075,7/31/15 17:28,1/3/16 10:25,59,,11,27054,0,4396,1.5,36
1225679,7/6/15 22:25,12/11/15 6:09,59,2,10,23850,564,4107,2.8,35
391062,7/25/15 21:08,12/30/15 20:14,59,7,20,6403,592,1938,3.3,48
588206,9/9/15 23:08,1/2/16 21:02,59,3,20,51708,2236,22439,3.9,59
342970,6/30/15 7:13,12/1/15 4:53,58,1,16,14314,648,4894,3,34
588236,8/24/15 8:01,10/31/15 13:41,58,,NA,14839,0,0,0.8,26
1139013,6/30/15 2:18,12/9/15 18:16,58,2,12,21518,645,3897,2.1,25
1319331,7/2/15 5:16,12/10/15 17:06,58,2,13,8649,144,1278,2.3,41
1324205,6/25/15 0:23,12/4/15 10:34,58,3,13,12496,699,2782,1.7,43
1315603,7/11/15 22:10,12/19/15 0:32,57,2,8,47329,3336,8804,2.5,19
775076,6/27/15 5:01,10/7/15 21:13,57,,NA,22639,0,0,0.5,27
414692,7/11/15 19:10,12/3/15 20:34,57,1,14,3141,50,997,2.3,25
254384,6/23/15 7:16,11/29/15 12:42,56,,8,4574,0,558,2.3,54
1277667,6/21/15 1:43,11/30/15 15:02,56,4,14,20312,1326,6178,2.2,41
394987,7/27/15 14:48,12/31/15 1:16,56,2,8,1206,39,139,4.1,60
138243,7/18/15 22:29,12/10/15 7:34,56,4,11,4153,450,950,2.3,54
1337508,6/25/15 9:05,12/6/15 2:10,56,3,13,7288,364,2310,1.8,22
345758,6/28/15 21:49,12/1/15 14:26,56,1,3,1946,41,76,3.1,63
238437,6/10/15 2:59,11/19/15 21:50,56,1,9,18194,1030,3659,3.2,40
250818,7/24/15 18:43,12/31/15 16:23,56,1,11,3977,29,529,2.3,49
190053,6/7/15 9:13,11/17/15 5:26,55,3,7,18474,1382,2781,3,20
1152570,7/9/15 5:50,12/12/15 14:33,55,1,5,5487,106,564,1.7,54
115510,6/27/15 11:18,12/6/15 23:13,55,1,9,27910,847,4372,2.3,47
1250651,6/22/15 22:11,11/29/15 6:59,55,4,14,16808,1040,3260,2.1,26
1229654,6/12/15 19:14,11/19/15 7:17,54,2,14,12061,246,2604,2.7,40
49009,6/12/15 3:55,11/17/15 10:40,54,,1,1301,0,31,2.7,39
1319366,7/14/15 13:38,12/17/15 19:23,54,3,10,22372,725,3145,3.1,60
514639,8/18/15 23:22,12/17/15 4:13,54,5,13,28583,1924,5833,2.2,30
165377,8/7/15 3:42,12/17/15 7:22,54,2,2,9180,207,207,1.6,55
384376,7/17/15 6:01,12/14/15 15:45,54,8,29,17090,2583,9460,1.7,52
418755,7/25/15 13:57,12/11/15 3:25,53,3,13,13458,696,3305,2.5,19
39680,6/7/15 3:12,9/16/15 14:30,53,,NA,7818,0,0,2.6,37
877757,10/22/15 22:39,12/13/15 11:00,53,9,32,14646,2450,8929,1.2,50
132430,7/17/15 13:02,12/28/15 17:11,53,4,7,11726,369,774,2.1,19
321525,7/10/15 22:33,12/15/15 9:15,53,1,2,9222,237,350,2,38
118621,7/14/15 4:44,12/18/15 16:49,53,,1,5664,0,118,2.9,43
192407,6/23/15 18:36,12/2/15 23:32,53,8,22,44866,5673,18751,2,55
159095,7/14/15 15:49,12/26/15 7:41,53,10,27,26965,5975,13080,2.2,38
1151621,7/29/15 23:12,12/27/15 18:29,53,,6,9847,0,1583,2.3,21
89672,6/30/15 5:00,11/17/15 4:39,52,,NA,6034,0,0,3.1,28
49370,7/4/15 21:52,12/11/15 7:16,52,4,7,5810,284,722,2.4,19
307319,7/16/15 2:31,12/7/15 14:08,52,,5,11606,0,1893,1.8,35
1307788,7/28/15 11:46,12/1/15 6:09,52,,NA,44120,0,0,1.3,53
345653,7/3/15 22:11,11/24/15 10:52,52,,6,837,0,91,1.3,43
1244198,7/12/15 1:11,12/15/15 13:34,52,4,8,22117,908,2703,1.4,22
169336,7/14/15 22:55,12/18/15 14:48,52,3,9,30815,2432,5027,3.1,58
1196049,6/26/15 14:14,12/6/15 6:19,51,1,4,15978,272,1097,2.5,46
490073,8/8/15 3:27,12/12/15 16:18,51,2,4,40523,1418,2544,0.6,56
55758,7/12/15 9:06,12/24/15 21:18,51,2,12,840,30,232,3,17
268016,6/17/15 5:59,11/29/15 20:41,51,3,10,14068,1294,3648,2.8,47
1267735,7/8/15 12:05,12/18/15 4:46,51,5,18,28199,1167,8180,2.2,16
119357,7/8/15 4:32,12/11/15 22:15,51,,9,8746,0,995,2.4,50
1244565,6/22/15 11:30,10/9/15 22:29,51,,NA,2462,0,0,3.2,44
38330,7/12/15 5:57,12/21/15 4:04,51,3,7,121,4,10,1.5,31
1354150,7/27/15 20:00,1/5/16 5:08,51,2,15,11247,466,3843,1.9,37
1159832,7/25/15 23:20,12/22/15 6:12,50,2,10,11009,459,2391,1.9,56
1264524,8/16/15 2:17,12/24/15 14:57,50,1,26,2374,18,1032,3.4,23
246839,6/17/15 7:02,11/24/15 16:32,50,6,15,8244,1100,2357,2.7,54
464270,7/31/15 21:26,12/8/15 19:28,50,,7,9415,0,2178,1.1,37
932806,11/13/15 10:16,12/22/15 11:53,50,6,36,23875,5331,18103,2.2,39
144495,6/8/15 9:25,11/15/15 17:19,50,1,2,9676,226,440,1.4,20
181357,6/18/15 7:08,11/27/15 5:34,50,9,15,4053,686,1169,2.3,34
271712,7/4/15 8:43,12/4/15 23:28,49,,5,2909,0,263,2.1,37
410137,7/1/15 1:04,12/5/15 16:46,49,,5,12164,0,1567,2.2,57
52473,7/21/15 8:53,1/1/16 12:54,49,1,2,26214,277,982,2.3,59
560405,8/31/15 17:28,12/28/15 23:35,49,1,3,1887,32,121,3.1,23
363905,7/29/15 14:42,1/3/16 6:49,49,,11,17705,0,3177,2.5,46
301920,6/17/15 18:20,11/22/15 22:06,49,1,11,12926,141,2825,2.9,48
623777,8/19/15 1:45,11/28/15 2:24,49,,1,11672,0,233,2.1,41
227836,7/13/15 16:35,12/12/15 11:53,49,2,9,3641,149,765,1.3,50
1123439,7/5/15 8:44,12/7/15 21:46,49,,7,12374,0,1854,3,34
1144204,7/26/15 3:56,12/11/15 12:12,49,2,6,4920,203,512,1.6,39
17709,7/6/15 3:32,11/24/15 1:13,48,1,11,5783,93,1016,2.1,51
262461,8/4/15 2:34,12/19/15 22:51,48,1,8,9048,177,2043,3,60
1235574,7/2/15 8:39,11/25/15 20:34,48,4,19,11965,1099,4514,2.7,30
172316,7/22/15 9:46,12/31/15 23:26,48,1,6,10168,113,1269,2.9,21
1321332,7/1/15 7:50,12/9/15 10:37,48,2,7,25244,1719,3844,2.5,16
135582,7/1/15 4:06,12/7/15 17:01,47,3,6,29529,2958,5549,3.1,26
1346710,6/16/15 3:17,11/19/15 12:31,47,,14,5233,0,2069,4,41
154175,7/22/15 10:55,12/4/15 15:11,47,3,11,28554,1540,6049,2.6,18
189670,7/12/15 10:39,12/5/15 8:00,47,,2,21958,0,1120,1.5,24
480675,8/2/15 16:34,12/13/15 6:10,47,4,14,14225,1193,3825,2.4,58
274639,7/13/15 15:44,12/19/15 1:35,47,3,8,7531,375,1774,3.1,37
1214338,7/6/15 0:23,11/30/15 3:23,46,,9,11520,0,2457,2.5,20
337722,8/17/15 21:10,12/14/15 5:23,46,3,16,20944,1460,7602,2.6,21
1214170,6/30/15 7:59,12/4/15 23:01,46,,1,11529,0,285,2,27
172410,6/24/15 16:13,9/20/15 12:26,46,,NA,10838,0,0,3.7,35
223170,6/16/15 12:06,11/25/15 22:55,46,4,9,19758,2220,4604,2.1,58
1168694,7/21/15 12:36,1/1/16 3:10,46,4,11,6579,580,1421,2,56
21123,6/19/15 22:06,11/14/15 8:10,46,,1,3649,0,43,1.6,27
1112270,7/4/15 14:58,12/8/15 2:21,46,,7,24669,0,5031,3.5,47
1316199,7/14/15 5:13,12/25/15 8:00,46,4,11,12878,1765,3881,2.8,22
79872,6/22/15 17:21,9/28/15 14:59,46,,NA,28538,0,0,2.5,38
43173,7/20/15 20:28,12/16/15 0:44,46,,5,12239,0,1138,2.5,42
1201415,7/10/15 23:39,12/15/15 22:37,45,3,8,23519,1310,4071,2.7,35
1151943,6/23/15 22:48,10/15/15 4:58,45,,NA,12285,0,0,1.9,56
1181954,6/30/15 7:23,12/7/15 12:34,45,1,11,10527,184,3629,2.3,41
480061,7/18/15 1:37,11/15/15 14:06,45,,16,4240,0,1676,1.7,31
1140782,7/31/15 1:36,12/20/15 20:01,45,,3,22127,0,1670,2.6,39
197991,7/17/15 21:31,12/24/15 22:04,45,1,8,13512,291,2081,2.3,40
1248352,7/23/15 12:32,12/6/15 12:31,45,,7,25026,0,2744,2.5,24
530311,7/31/15 15:09,11/29/15 13:24,45,4,9,7739,543,1859,2.8,54
98997,6/23/15 16:33,12/2/15 4:08,45,2,6,12682,699,2353,3,51
1333281,8/15/15 14:38,12/10/15 20:21,45,,2,22153,0,1084,2.9,52
160456,7/16/15 0:44,12/27/15 2:02,45,3,7,22401,1172,4131,2.9,23
1153035,6/10/15 12:32,11/3/15 16:06,45,,5,12484,0,1486,2.4,23
563045,7/25/15 18:45,11/16/15 21:57,45,2,6,29229,1706,4929,2.2,49
1179459,8/16/15 7:09,1/4/16 2:19,44,1,4,20087,437,1303,2.9,37
145476,7/23/15 10:33,12/18/15 9:23,44,,3,11140,0,1143,2,26
1052766,6/26/15 17:27,12/5/15 12:52,44,1,10,1099,27,246,3.5,46
267365,7/19/15 9:34,11/22/15 13:10,44,4,8,8064,964,1593,1.8,32
10538,6/10/15 16:17,11/19/15 2:55,44,5,18,20784,4828,11350,3.6,20
1135164,6/23/15 16:02,12/4/15 15:29,44,3,12,20395,1635,4951,1.4,31
1314193,7/22/15 13:30,12/23/15 22:58,44,2,13,5854,122,1373,1.9,21
1297412,7/2/15 11:12,12/8/15 23:33,44,2,9,19935,578,4148,3,18
1121048,11/15/15 19:47,12/26/15 23:32,44,9,36,15561,3117,12968,2,20
993424,6/18/15 14:09,11/29/15 16:08,44,3,7,21052,1994,2880,1.6,19
1192913,7/9/15 15:35,12/12/15 22:05,44,,2,2966,0,135,2.1,42
1291996,7/29/15 20:42,12/11/15 12:00,44,2,11,13327,789,3833,2.9,32
986955,7/23/15 0:46,12/12/15 9:29,44,2,9,8170,310,1572,0.6,32
1181590,7/16/15 10:53,12/27/15 0:41,43,4,12,15108,1305,4962,0.9,24
35108,7/1/15 5:29,11/20/15 15:48,43,2,11,7603,230,1720,3,20
1137745,6/19/15 9:26,11/29/15 19:51,43,1,4,22530,420,2191,1.9,21
1293070,8/20/15 15:17,12/11/15 5:26,43,2,14,13875,456,3784,2.8,54
304374,8/16/15 12:51,12/14/15 19:55,43,,11,13190,0,3698,2.3,24
1339943,7/14/15 4:30,12/17/15 4:44,43,2,6,4724,209,731,1.6,42
1236921,7/13/15 19:36,12/22/15 10:31,43,2,7,8886,291,1368,2.1,44
1212547,7/6/15 14:54,12/16/15 2:26,43,3,8,9435,494,2177,2.7,31
195840,8/18/15 9:07,11/28/15 19:00,43,,5,16297,0,1951,2.2,22
1314567,7/12/15 0:36,11/27/15 6:57,43,,2,1849,0,112,2.5,45
1301911,7/4/15 17:43,12/14/15 17:06,43,3,13,23941,1397,6658,1.6,16
168125,6/11/15 12:08,9/5/15 15:21,43,,NA,48624,0,0,1.9,47
1250923,7/14/15 4:14,12/28/15 3:49,43,4,8,18028,1541,2872,3.5,48
1302836,7/10/15 3:36,10/27/15 23:42,43,,NA,2491,0,0,0.9,30
227483,7/21/15 0:51,12/28/15 16:18,42,6,20,11608,1278,5216,2.4,31
84081,7/17/15 10:46,12/28/15 15:02,42,4,5,41119,5156,7049,2.1,22
27485,7/24/15 19:28,1/3/16 15:18,42,2,11,6431,394,1786,2.9,49
1119966,7/23/15 3:35,12/25/15 15:49,42,2,4,20746,1032,1847,1.9,32
306998,6/30/15 2:46,11/21/15 8:53,42,2,8,775,37,156,2.1,38
665406,9/25/15 21:21,11/23/15 0:48,42,,NA,10260,0,0,2.3,46
501429,8/21/15 20:15,12/24/15 5:37,42,3,10,18118,1287,4623,3.3,33
1143024,7/3/15 10:28,11/17/15 4:32,42,,NA,12038,0,0,2.2,28
526174,9/9/15 6:49,12/2/15 7:55,42,,3,11455,0,534,3.2,36
104656,7/15/15 22:18,12/16/15 2:22,42,1,6,5674,218,972,1.8,31
361705,7/25/15 21:00,1/3/16 12:25,41,1,1,13775,203,203,2.6,22
1122276,7/10/15 19:50,11/28/15 19:09,41,,1,5732,0,26,2.5,16
1166414,7/12/15 14:28,12/23/15 22:53,41,6,13,16572,1368,3405,3,17
611467,8/12/15 11:27,11/24/15 18:25,41,2,8,737,34,137,1.7,22
103166,7/17/15 17:47,12/16/15 8:07,41,1,5,9283,209,1567,2.5,33
1245186,7/9/15 21:27,11/10/15 21:32,41,,NA,39986,0,0,1.7,51
496484,8/6/15 0:56,12/4/15 0:17,41,,6,10440,0,1981,2.8,18
1127009,7/27/15 13:38,1/6/16 6:35,41,2,15,11947,433,4133,1.4,15
1635,7/24/15 11:36,12/20/15 17:58,41,,4,7100,0,775,2.3,19
148115,7/24/15 2:56,12/4/15 17:01,40,,2,3910,0,115,2.7,44
62687,7/22/15 12:42,1/1/16 7:31,40,1,3,1399,53,166,3,35
143923,7/5/15 8:25,12/10/15 6:24,40,1,6,5822,137,1010,2.8,56
1110035,7/26/15 4:59,1/2/16 18:15,40,2,8,3325,112,600,1.8,63
1004316,7/11/15 19:22,12/14/15 17:27,40,2,7,11427,515,1932,0.7,16
336533,6/29/15 14:03,11/25/15 1:14,40,1,8,21621,587,4043,2.6,54
550331,8/30/15 10:28,12/26/15 5:47,40,2,8,6795,267,1326,2.5,41
26587,7/7/15 22:17,12/14/15 19:33,40,2,19,3216,233,1431,2.5,39
1326028,7/2/15 16:39,12/14/15 0:21,40,2,4,8974,547,1072,1.6,52
141759,7/18/15 1:46,12/12/15 20:56,40,4,8,526,63,110,3.3,56
1181411,7/18/15 17:59,12/26/15 0:14,40,2,5,21983,955,2593,1.8,32
1116671,7/10/15 20:39,12/17/15 14:14,40,,5,517,0,83,1.4,46
1303708,7/7/15 9:43,12/13/15 21:04,40,,5,13847,0,1487,3,59
1177543,6/10/15 3:32,11/15/15 18:20,40,1,12,3469,74,955,1.3,39
1144519,7/4/15 10:58,12/13/15 6:07,39,1,1,7026,196,196,2.6,49
1255341,6/22/15 9:33,11/27/15 22:00,39,,7,16695,0,2466,2.2,45
272241,6/18/15 23:34,11/24/15 6:07,39,1,5,11372,329,1750,2.4,19
10013,7/26/15 4:58,1/3/16 22:32,39,5,13,14455,2113,5096,2.5,29
10982,7/10/15 11:23,10/22/15 14:21,39,,NA,5219,0,0,3.1,22
110932,8/16/15 7:40,11/11/15 20:25,39,,NA,4931,0,0,2.8,38
156916,7/25/15 1:10,12/31/15 4:24,39,1,6,12274,272,1744,2.1,52
1145544,7/15/15 1:18,12/21/15 9:18,39,3,8,10156,463,1850,2.6,26
74317,7/9/15 11:09,12/10/15 21:10,39,,4,22017,0,1828,2.1,27
413280,7/19/15 1:17,11/26/15 16:28,39,,5,15386,0,2132,2.7,45
14038,7/16/15 3:01,12/22/15 15:30,39,1,4,4525,232,520,2.3,23
1171591,6/11/15 15:24,11/16/15 11:43,39,,5,10176,0,1109,2.2,40
1145608,7/24/15 12:24,12/12/15 6:30,39,2,14,46928,2183,18100,1.8,23
1225728,7/14/15 1:07,12/23/15 10:45,39,1,14,18459,348,6609,2.2,15
526846,8/7/15 21:37,12/12/15 21:44,39,1,7,9605,127,970,2.5,37
1158115,7/17/15 22:50,12/28/15 8:47,39,1,14,14106,202,4940,2.8,49
533470,8/26/15 13:39,11/20/15 5:23,39,,NA,2906,0,0,1.1,46
1112557,7/19/15 17:50,12/4/15 3:59,39,,7,15558,0,3804,2.6,57
1354065,7/8/15 18:59,12/17/15 18:30,39,1,10,9115,263,1873,2.8,57
260301,7/6/15 11:21,11/11/15 12:33,39,,NA,12732,0,0,1.8,20
1317803,8/6/15 13:22,11/26/15 18:47,39,,3,3172,0,245,2.7,16
1307655,7/11/15 14:53,11/11/15 3:53,39,,NA,10589,0,0,2.1,51
512991,8/28/15 12:55,1/7/16 18:26,38,2,9,8999,395,1846,3.2,39
1150921,7/17/15 18:21,12/29/15 16:34,38,4,9,1963,199,422,3,24
1131409,7/20/15 5:00,12/20/15 11:20,38,,2,2125,0,95,2.2,54
29175,7/1/15 5:03,11/23/15 23:23,38,,3,10197,0,826,2.8,42
46055,7/13/15 6:54,12/4/15 2:15,38,,8,4899,0,1012,1.4,55
1181984,7/10/15 7:26,12/8/15 2:28,38,,5,12733,0,1464,2,31
1301577,7/28/15 20:42,12/29/15 21:58,38,2,8,32592,1421,7229,1.1,56
396303,7/22/15 6:47,12/18/15 17:37,38,3,15,2207,102,916,2.4,31
524948,8/15/15 22:35,12/19/15 3:56,38,3,5,19188,3482,5939,3,53
28619,6/11/15 16:02,9/6/15 1:53,37,,NA,9665,0,0,2.8,30
109684,7/25/15 6:51,1/2/16 9:30,37,2,3,9828,1152,1337,2.1,23
74695,6/16/15 8:44,11/22/15 22:39,37,4,9,8266,476,1080,4.1,19
476384,11/4/15 12:00,12/11/15 11:27,37,14,35,13740,4488,13023,1.4,26
